NU_ANO,NU_IDADE,NU_NOTA_CH,NU_NOTA_CN,NU_NOTA_LC,NU_NOTA_MT,SG_UF_PROVA,TP_PRESENCA_D1,TP_PRESENCA_D2,TP_SEXO
2015,27.0,635.7,538.3,,,São Paulo,1,0,M
2015,18.0,510.2,367.5,507.8,449.9,Mato Grosso,1,1,F
2015,32.0,663.3,532.5,678.6,410.6,Goiás,1,1,M
2015,39.0,559.7,599.1,524.3,636.1,Espírito Santo,1,1,M
2015,30.0,770.9,723.0,629.9,781.2,Minas Gerais,1,1,M
2015,25.0,647.3,580.3,599.5,567.8,Minas Gerais,1,1,F
2015,27.0,560.7,539.1,487.9,393.4,Pernambuco,1,1,M
2015,31.0,579.8,509.7,580.3,482.3,Minas Gerais,1,1,M
2015,33.0,,,,,Rio Grande do Norte,0,0,M
2015,20.0,538.0,442.7,517.9,453.0,Pernambuco,1,1,F
2015,19.0,600.5,592.3,559.0,512.6,Rio Grande do Norte,1,1,M
2015,19.0,622.1,563.3,628.9,529.7,São Paulo,1,1,F
2015,31.0,,,,,Distrito Federal,0,0,F
2015,22.0,562.6,458.9,597.1,504.2,Minas Gerais,1,1,F
2015,18.0,614.6,482.0,590.5,711.7,São Paulo,1,1,M
2015,27.0,,,,,Ceará,0,0,F
2015,21.0,561.3,454.6,519.8,391.4,Distrito Federal,1,1,M
2015,27.0,,,,,Minas Gerais,0,0,M
2015,18.0,640.8,566.4,,,Rio Grande do Sul,1,0,M
2015,29.0,667.3,535.3,579.2,564.6,Paraíba,1,1,F
2015,18.0,703.2,629.4,641.2,750.4,Minas Gerais,1,1,M
2015,17.0,739.7,660.5,641.2,713.8,Minas Gerais,1,1,F
2015,45.0,629.6,568.6,591.5,447.1,São Paulo,1,1,M
2015,18.0,536.0,449.2,550.9,398.4,Rio Grande do Norte,1,1,F
2015,26.0,688.9,414.4,593.3,401.6,Rio de Janeiro,1,1,F
2015,25.0,,,,,Piauí,0,0,M
2015,24.0,,,,,Minas Gerais,0,0,F
2015,34.0,474.2,367.5,398.5,465.9,Rio de Janeiro,1,1,F
2015,21.0,644.4,618.9,644.6,438.9,Rio de Janeiro,1,1,M
2015,38.0,,,,,Minas Gerais,0,0,M
2015,20.0,774.7,782.6,650.6,820.0,Minas Gerais,1,1,F
2015,43.0,428.9,405.0,340.3,453.4,Goiás,1,1,F
2015,27.0,,,,,Paraná,0,0,F
2015,20.0,553.4,508.0,573.8,517.3,Distrito Federal,1,1,F
2015,28.0,635.5,556.8,559.8,565.7,Goiás,1,1,M
2015,18.0,548.6,500.7,541.4,390.3,Rio Grande do Sul,1,1,F
2015,20.0,584.2,520.8,543.4,418.4,São Paulo,1,1,F
2015,31.0,,,,,São Paulo,0,0,F
2015,20.0,626.6,569.4,590.1,668.4,São Paulo,1,1,F
2015,25.0,615.4,570.2,602.8,433.8,Minas Gerais,1,1,M
2015,23.0,,,,,São Paulo,0,0,M
2015,17.0,499.2,422.1,552.9,358.2,Rio de Janeiro,1,1,M
2015,24.0,646.6,563.4,649.8,700.0,Pará,1,1,M
2015,39.0,663.2,511.1,588.3,582.8,Sergipe,1,1,M
2015,18.0,690.4,615.6,700.4,809.4,Rio de Janeiro,1,1,M
2015,18.0,609.4,509.4,557.5,599.6,São Paulo,1,1,F
2015,37.0,474.3,368.5,455.9,453.0,Minas Gerais,1,1,F
2015,18.0,530.0,480.1,434.0,378.5,Bahia,1,1,M
2015,24.0,679.8,574.5,605.6,720.1,Rio de Janeiro,1,1,M
2015,20.0,,,,,Minas Gerais,0,0,F
2015,25.0,599.9,392.8,553.4,375.6,Rio de Janeiro,1,1,F
2015,41.0,,,,,Distrito Federal,0,0,M
2015,22.0,639.0,516.7,633.5,618.0,Espírito Santo,1,1,M
2015,21.0,491.2,500.3,415.9,368.7,Bahia,1,1,F
2015,17.0,444.2,430.0,421.2,497.1,Ceará,1,1,M
2015,42.0,627.8,528.5,565.9,640.2,São Paulo,1,1,M
2015,24.0,636.7,454.3,578.5,483.0,Rio Grande do Sul,1,1,F
2015,18.0,545.0,456.8,532.5,356.9,São Paulo,1,1,F
2015,23.0,,,,,São Paulo,0,0,M
2015,20.0,587.3,512.0,487.5,375.2,Paraná,1,1,F
2015,23.0,541.5,474.9,563.9,366.1,São Paulo,1,1,M
2015,18.0,685.9,557.8,602.9,574.9,São Paulo,1,1,F
2015,18.0,631.6,583.4,631.5,521.1,Ceará,1,1,F
2015,16.0,715.1,585.6,626.6,779.2,Paraná,1,1,M
2015,18.0,604.5,636.6,568.4,633.7,Bahia,1,1,F
2015,21.0,,,,,São Paulo,0,0,M
2015,18.0,,,,,Minas Gerais,0,0,M
2015,21.0,,,,,Pará,0,0,M
2015,17.0,547.5,464.0,,,Bahia,1,0,M
2015,19.0,625.8,495.5,563.4,557.5,Pernambuco,1,1,F
2015,30.0,562.7,441.1,516.6,402.4,Rio Grande do Norte,1,1,F
2015,22.0,600.3,398.9,560.4,367.2,Rio de Janeiro,1,1,F
2015,22.0,586.7,533.6,558.7,454.0,Amazonas,1,1,F
2015,35.0,682.3,631.7,590.9,761.4,Paraíba,1,1,M
2015,18.0,623.5,547.3,557.7,710.4,Espírito Santo,1,1,F
2015,21.0,532.7,453.2,543.6,487.7,Minas Gerais,1,1,M
2015,22.0,656.7,595.8,565.4,490.7,São Paulo,1,1,M
2015,18.0,638.6,638.8,581.4,699.7,São Paulo,1,1,F
2015,23.0,624.2,521.6,512.1,403.7,Minas Gerais,1,1,M
2015,24.0,501.4,368.8,420.5,318.0,Bahia,1,1,M
2015,21.0,612.4,401.0,628.0,530.8,Rio Grande do Sul,1,1,F
2015,21.0,676.1,619.8,631.8,668.2,Rio de Janeiro,1,1,F
2015,34.0,,,,,Ceará,0,0,F
2015,25.0,581.5,431.2,564.6,442.1,Mato Grosso do Sul,1,1,F
2015,30.0,,,,,Minas Gerais,0,0,F
2015,36.0,588.5,452.5,412.5,501.4,Amazonas,1,1,M
2015,18.0,507.6,428.3,499.9,531.4,Rio Grande do Sul,1,1,M
2015,24.0,,,,,Santa Catarina,0,0,F
2015,22.0,688.1,610.7,615.1,588.3,Rio de Janeiro,1,1,M
2015,40.0,,,,,Pernambuco,0,0,F
2015,27.0,479.7,454.6,443.5,382.9,Minas Gerais,1,1,F
2015,30.0,598.7,464.9,540.4,429.4,Rio de Janeiro,1,1,M
2015,26.0,560.0,529.9,474.7,607.5,Alagoas,1,1,F
2015,22.0,,,,,São Paulo,0,0,F
2015,23.0,624.5,481.8,619.5,400.8,Minas Gerais,1,1,F
2015,28.0,608.7,519.1,508.8,436.4,Pernambuco,1,1,M
2015,18.0,612.4,570.6,459.0,594.8,Rio Grande do Sul,1,1,M
2015,23.0,672.9,652.9,669.4,694.2,Rio de Janeiro,1,1,M
2015,23.0,530.0,438.0,572.2,466.9,Distrito Federal,1,1,F
2015,18.0,568.9,494.6,551.6,434.5,Pernambuco,1,1,F
2015,22.0,626.3,536.8,566.5,627.4,Paraná,1,1,M
2015,35.0,,,,,Minas Gerais,0,0,F
2015,48.0,592.5,552.5,611.0,579.7,Santa Catarina,1,1,F
2015,27.0,,,,,Minas Gerais,0,0,M
2015,27.0,637.2,502.8,547.1,395.5,Piauí,1,1,M
2015,29.0,,,,,Rio Grande do Norte,0,0,M
2015,24.0,635.2,501.3,559.3,444.3,Minas Gerais,1,1,F
2015,19.0,518.1,482.7,485.5,443.6,Santa Catarina,1,1,F
2015,19.0,,,,,São Paulo,0,0,M
2015,22.0,504.4,528.1,429.9,380.6,Paraná,1,1,F
2015,21.0,604.2,506.1,,,Paraíba,1,0,F
2015,22.0,475.8,502.5,512.5,436.3,Pará,1,1,M
2015,15.0,590.8,563.5,590.8,641.4,São Paulo,1,1,M
2015,26.0,648.0,559.2,614.7,674.1,Rio de Janeiro,1,1,M
2015,32.0,670.7,670.3,621.3,724.1,São Paulo,1,1,F
2015,19.0,653.8,617.4,532.9,726.8,Minas Gerais,1,1,M
2015,34.0,,,,,Pernambuco,0,0,M
2015,25.0,,,,,São Paulo,0,0,F
2015,19.0,,,,,Rio Grande do Sul,0,0,F
2015,26.0,,,,,Minas Gerais,0,0,F
2015,23.0,,,,,Rio de Janeiro,0,0,F
2015,18.0,607.7,591.0,560.0,511.2,Minas Gerais,1,1,F
2015,26.0,644.3,428.2,454.9,549.8,São Paulo,1,1,M
2015,23.0,489.9,490.6,396.6,481.4,Rio de Janeiro,1,1,F
2015,33.0,615.0,559.9,564.8,580.4,Rio Grande do Sul,1,1,F
2015,24.0,616.9,519.2,538.3,520.0,Rio Grande do Sul,1,1,F
2015,27.0,545.9,468.7,534.1,529.4,Minas Gerais,1,1,F
2015,20.0,660.4,492.6,608.2,536.9,São Paulo,1,1,M
2015,20.0,573.5,525.8,508.3,439.9,Rio de Janeiro,1,1,F
2015,17.0,653.0,658.8,618.5,732.1,Bahia,1,1,M
2015,17.0,628.6,405.2,536.9,436.7,Goiás,1,1,M
2015,25.0,558.7,525.0,508.5,408.6,Paraná,1,1,F
2015,19.0,,,,,Pernambuco,0,0,F
2015,30.0,,,,,Minas Gerais,0,0,F
2015,22.0,622.5,549.7,588.9,590.1,São Paulo,1,1,M
2015,18.0,633.4,503.5,565.4,550.7,Pernambuco,1,1,F
2015,23.0,629.0,394.4,503.7,507.6,Pernambuco,1,1,M
2015,21.0,445.1,460.7,478.0,392.4,Mato Grosso do Sul,1,1,F
2015,23.0,529.4,511.3,528.9,340.7,Paraná,1,1,F
2015,30.0,601.6,571.5,530.8,470.1,Rio Grande do Sul,1,1,M
2015,19.0,496.3,507.2,456.3,430.0,São Paulo,1,1,F
2015,30.0,,,,,São Paulo,0,0,M
2015,19.0,563.9,514.8,548.4,492.0,Pernambuco,1,1,M
2015,17.0,503.4,428.0,477.6,386.2,Paraná,1,1,F
2015,19.0,521.1,497.3,474.6,351.2,Distrito Federal,1,1,M
2015,17.0,722.4,596.0,667.6,740.7,São Paulo,1,1,F
2015,30.0,,,,,Rio Grande do Sul,0,0,M
2015,17.0,617.8,496.4,586.2,647.5,São Paulo,1,1,F
2015,62.0,580.6,481.9,460.9,470.6,Minas Gerais,1,1,M
2015,20.0,,,,,Minas Gerais,0,0,F
2015,30.0,560.2,370.9,444.6,448.4,Mato Grosso do Sul,1,1,F
2015,23.0,,,,,Minas Gerais,0,0,F
2015,19.0,583.4,508.3,437.2,433.8,Paraná,1,1,M
2015,21.0,425.3,404.6,432.0,325.0,Ceará,1,1,M
2015,29.0,516.9,431.7,522.2,417.0,Bahia,1,1,M
2015,27.0,,,,,Goiás,0,0,M
2015,24.0,,,,,Ceará,0,0,F
2015,24.0,548.5,475.3,515.1,493.4,Bahia,1,1,M
2015,23.0,571.3,467.1,459.5,453.3,São Paulo,1,1,F
2015,22.0,604.0,527.2,617.8,388.5,São Paulo,1,1,F
2015,22.0,577.9,507.8,545.8,497.2,São Paulo,1,1,F
2015,23.0,636.4,464.2,554.6,526.6,Minas Gerais,1,1,F
2015,22.0,624.6,454.1,597.3,350.9,Rio de Janeiro,1,1,M
2015,31.0,614.6,525.2,,,Alagoas,1,0,M
2015,18.0,,,,,São Paulo,0,0,F
2015,18.0,664.7,558.2,572.1,521.8,Maranhão,1,1,M
2015,24.0,600.8,554.5,484.2,569.2,Rio Grande do Sul,1,1,M
2015,26.0,628.6,463.3,556.0,451.5,Minas Gerais,1,1,M
2015,19.0,480.4,439.8,484.9,351.0,São Paulo,1,1,F
2015,24.0,606.5,465.7,560.4,364.8,Pará,1,1,F
2015,18.0,635.6,555.6,607.4,514.6,Paraná,1,1,F
2015,20.0,547.7,381.2,476.3,404.2,Paraná,1,1,F
2015,28.0,,,,,Paraná,0,0,F
2015,20.0,639.1,504.3,642.0,481.1,Minas Gerais,1,1,F
2015,18.0,599.4,490.0,548.5,491.4,Rio de Janeiro,1,1,F
2015,26.0,668.8,546.5,656.8,551.7,Minas Gerais,1,1,F
2015,25.0,594.5,483.2,597.2,461.6,Pará,1,1,F
2015,21.0,614.1,596.1,449.3,715.2,Pernambuco,1,1,M
2015,20.0,475.0,473.7,445.8,394.5,Distrito Federal,1,1,F
2015,28.0,637.8,473.4,578.1,631.3,São Paulo,1,1,M
2015,16.0,543.1,452.8,491.8,390.5,Pará,1,1,F
2015,25.0,603.3,540.7,593.7,515.4,São Paulo,1,1,F
2015,33.0,656.7,584.2,605.6,608.0,Minas Gerais,1,1,M
2015,18.0,653.1,552.0,568.9,439.9,Bahia,1,1,F
2015,23.0,607.9,440.6,561.4,430.7,Minas Gerais,1,1,F
2015,22.0,475.4,395.0,332.2,641.0,Minas Gerais,1,1,F
2015,21.0,464.6,464.5,505.6,549.6,São Paulo,1,1,M
2015,17.0,652.3,561.1,590.2,409.6,Minas Gerais,1,1,M
2015,22.0,542.6,489.6,496.0,400.4,Santa Catarina,1,1,F
2015,18.0,632.1,422.8,549.7,423.3,São Paulo,1,1,F
2015,25.0,,,,,Goiás,0,0,F
2015,35.0,580.5,516.0,473.3,402.9,Bahia,1,1,M
2015,17.0,667.3,478.7,603.5,484.9,São Paulo,1,1,M
2015,22.0,506.3,439.7,445.5,382.3,Bahia,1,1,F
2015,18.0,457.5,518.7,514.0,459.9,Paraná,1,1,F
2015,17.0,675.8,653.7,652.0,661.0,Pernambuco,1,1,F
2015,26.0,554.8,500.5,560.0,539.5,Rio Grande do Sul,1,1,F
2015,21.0,560.2,477.8,445.4,374.1,Bahia,1,1,M
2015,30.0,570.3,427.6,541.1,414.6,São Paulo,1,1,F
2015,25.0,623.7,526.2,525.2,421.8,Rio Grande do Sul,1,1,M
2015,26.0,,,,,Bahia,0,0,M
2015,17.0,623.5,524.6,567.8,638.7,São Paulo,1,1,M
2015,31.0,,,,,Bahia,0,0,M
2015,17.0,629.9,526.2,541.0,478.8,Bahia,1,1,F
2015,18.0,579.7,424.5,,,Mato Grosso do Sul,1,0,F
2015,23.0,549.0,510.7,574.9,598.0,Rio Grande do Sul,1,1,F
2015,16.0,511.8,463.2,454.0,387.9,São Paulo,1,1,F
2015,19.0,556.0,480.4,580.3,558.8,Rio Grande do Sul,1,1,F
2015,20.0,355.6,447.4,469.9,398.2,Mato Grosso do Sul,1,1,M
2015,18.0,639.6,525.5,586.2,431.9,Minas Gerais,1,1,M
2015,20.0,633.9,560.0,561.5,613.1,Pernambuco,1,1,M
2015,30.0,,,,,Rio de Janeiro,0,0,M
